"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE","test"
"Annfield","Annfield-1","MG",2014-07-23,16.5,NA,NA,4,600,2.6,"Turbine(s) spinning",2014-07-23 00:15:53,2014-07-23 00:19:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13333333333333
"Annfield","Annfield-1","MG",2014-07-23,16.5,NA,NA,4,700,0,"Turbine(s) spinning",2014-07-23 00:19:01,2014-07-23 00:22:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,0,0.6,"Turbine(s) spinning",2014-08-27 00:07:13,2014-08-27 00:09:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76666666666667
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,100,0,"Turbine(s) spinning",2014-08-27 00:09:59,2014-08-27 00:13:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48333333333333
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,200,0,"Turbine(s) spinning",2014-08-27 00:13:28,2014-08-27 00:15:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,300,0,"Turbine(s) spinning",2014-08-27 00:15:58,2014-08-27 00:18:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,400,0,"Turbine(s) spinning",2014-08-27 00:18:13,2014-08-27 00:20:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41666666666667
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,500,0.1,"Turbine(s) spinning",2014-08-27 00:20:38,2014-08-27 00:23:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56666666666667
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,600,0,"Turbine(s) spinning",2014-08-27 00:23:12,2014-08-27 00:26:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48333333333333
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,600,0.2,"Turbine(s) spinning",2014-08-26 23:48:56,2014-08-26 23:51:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,500,0,"Turbine(s) spinning",2014-08-26 23:51:05,2014-08-26 23:53:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,400,0,"Turbine(s) spinning",2014-08-26 23:53:41,2014-08-26 23:56:29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8
