"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE"
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,300,0,"Turbine(s) spinning",2014-08-27 00:15:58,2014-08-27 00:18:13,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,400,0,"Turbine(s) spinning",2014-08-27 00:18:13,2014-08-27 00:20:38,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,500,0.1,"Turbine(s) spinning",2014-08-27 00:20:38,2014-08-27 00:23:12,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,2,600,0,"Turbine(s) spinning",2014-08-27 00:23:12,2014-08-27 00:26:41,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,600,0.2,"Turbine(s) spinning",2014-08-26 23:48:56,2014-08-26 23:51:05,0,0,0,0,3,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,500,0,"Turbine(s) spinning",2014-08-26 23:51:05,2014-08-26 23:53:41,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,400,0,"Turbine(s) spinning",2014-08-26 23:53:41,2014-08-26 23:56:29,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,300,0,"Turbine(s) spinning",2014-08-26 23:56:29,2014-08-26 23:59:59,0,0,1,2,0,2,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-26,8.5,NA,NA,3,200,0,"Turbine(s) spinning",2014-08-26 23:59:59,2014-08-27 00:03:21,0,0,0,0,0,1,1,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,3,100,0,"Turbine(s) spinning",2014-08-27 00:03:21,2014-08-27 00:05:51,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,3,0,0.7,"Turbine(s) spinning",2014-08-27 00:05:51,2014-08-27 00:09:21,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,0,0.1,"Turbine(s) spinning",2014-08-27 00:34:51,2014-08-27 00:37:36,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,100,0,"Turbine(s) spinning",2014-08-27 00:37:36,2014-08-27 00:40:47,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,200,0,"Turbine(s) spinning",2014-08-27 00:40:47,2014-08-27 00:43:13,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,300,0,"Turbine(s) spinning",2014-08-27 00:43:13,2014-08-27 00:45:35,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,400,0,"Turbine(s) spinning",2014-08-27 00:45:35,2014-08-27 00:47:55,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,500,0,"Turbine(s) spinning",2014-08-27 00:47:55,2014-08-27 00:50:18,0,0,0,1,0,1,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,600,0,"Turbine(s) spinning",2014-08-27 00:50:18,2014-08-27 00:53:12,0,0,0,0,0,0,0,0,0,0
"Annfield","Annfield-2","MG",2014-08-27,8.5,NA,NA,4,700,0,"Turbine(s) spinning",2014-08-27 00:53:12,2014-08-27 00:56:23,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,0,0.3,"Turbine(s) spinning",2014-08-04 22:27:23,2014-08-04 22:30:19,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,100,0.2,"Turbine(s) spinning",2014-08-04 22:30:19,2014-08-04 22:32:57,0,0,0,6,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,200,0.1,"Turbine(s) spinning",2014-08-04 22:32:57,2014-08-04 22:36:17,0,0,1,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,300,0.9,"Turbine(s) spinning",2014-08-04 22:36:17,2014-08-04 22:40:26,0,0,0,3,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,400,0,"Turbine(s) spinning",2014-08-04 22:40:26,2014-08-04 22:43:55,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,500,0,"Turbine(s) spinning",2014-08-04 22:43:55,2014-08-04 22:46:25,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,1,600,0,"Turbine(s) spinning",2014-08-04 22:46:25,2014-08-04 22:50:34,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,0,0.8,"Turbine(s) spinning",2014-08-04 21:44:11,2014-08-04 21:46:39,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,100,0,"Turbine(s) spinning",2014-08-04 21:46:39,2014-08-04 21:49:17,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,200,0,"Turbine(s) spinning",2014-08-04 21:49:17,2014-08-04 21:51:56,0,0,0,3,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,300,0.6,"Turbine(s) spinning",2014-08-04 21:51:56,2014-08-04 21:54:38,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,400,0,"Turbine(s) spinning",2014-08-04 21:54:38,2014-08-04 21:57:15,0,0,0,2,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,2,500,1.9,"Turbine(s) spinning",2014-08-04 21:57:15,2014-08-04 21:59:57,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,0,0.4,"Turbine(s) spinning",2014-08-04 22:05:03,2014-08-04 22:08:06,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,100,0,"Turbine(s) spinning",2014-08-04 22:08:06,2014-08-04 22:10:38,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,200,0,"Turbine(s) spinning",2014-08-04 22:10:38,2014-08-04 22:13:17,0,0,0,1,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,300,1,"Turbine(s) spinning",2014-08-04 22:13:17,2014-08-04 22:16:18,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,400,0,"Turbine(s) spinning",2014-08-04 22:16:18,2014-08-04 22:19:12,0,0,1,1,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,3,500,0.3,"Turbine(s) spinning",2014-08-04 22:19:12,2014-08-04 22:22:15,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,0,0.7,"Turbine(s) spinning",2014-08-04 22:54:47,2014-08-04 22:57:59,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,100,1.4,"Turbine(s) spinning",2014-08-04 22:57:59,2014-08-04 23:00:26,0,0,1,8,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,200,0,"Turbine(s) spinning",2014-08-04 23:00:26,2014-08-04 23:02:54,0,0,0,0,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,300,0.9,"Turbine(s) spinning",2014-08-04 23:02:54,2014-08-04 23:05:26,0,0,1,2,0,0,0,0,0,0
"Barn Owl Lodge","Barn Owl Lodge-1","MG",2014-08-04,13,NA,NA,4,400,0.3,"Turbine(s) spinning",2014-08-04 23:05:26,2014-08-04 23:08:09,0,0,2,3,0,0,0,0,0,0
