"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE","fSECTION","DAYNO","TTMIDN","NOTURB","PASSES","ALL_PIPS","ALL_OTHER","pBUILD","pTREE","pRDTRK","pROADS","pRGRAS","EDGED","D_LIN","D_BUI","D_WAT","D_TRE","PC1a","PC2a","PC3a","PC4a","AREA_M2","AREA_ha","MID_X","MID_Y","sWINDS","min_air_temp"
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","N",1,1.9,NA,2013-05-28 23:22:00,2013-05-28 23:44:00,0,0,0,0,0,0,0,0,0,0,"1",147,-38,3,0,0,0,0,0,0,0,0,0.0221649530462054,23.6810143143635,103.853015448346,23.8876711784961,409.073112574458,-1.0247972909042,0.635567879658648,-0.602819436387048,0.533616638688098,13468.56,1.346856,351805.050736026,683512.054436786,-0.459094620049109,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","N",1,1.9,NA,2013-05-28 23:22:00,2013-05-28 23:44:00,0,0,0,0,0,0,0,0,0,0,"1",147,-38,3,0,0,0,0,0,0,0,0,0.0221649530462054,23.6810143143635,103.853015448346,23.8876711784961,409.073112574458,-1.0247972909042,0.635567879658648,-0.602819436387048,0.533616638688098,13468.56,1.346856,351805.050736026,683512.054436786,1.07923290262853,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","N",2,2.5,NA,2013-05-28 23:22:00,2013-05-28 23:44:00,0,0,0,0,0,0,0,0,0,0,"2",147,-38,3,0,0,0,0.0218916168549364,0,0,0,0,0.0519174236806968,12.2318986764921,35.0749712163865,58.8547112187745,296.094154737772,0.363750442529004,0.375299271042202,-1.44346094981697,0.430997286334203,14484.54,1.448454,351740.622514593,683607.836685235,1.65610572363265,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","N",2,2.5,NA,2013-05-28 23:22:00,2013-05-28 23:44:00,0,0,0,0,0,0,0,0,0,0,"2",147,-38,3,0,0,0,0.0218916168549364,0,0,0,0,0.0519174236806968,12.2318986764921,35.0749712163865,58.8547112187745,296.094154737772,0.363750442529004,0.375299271042202,-1.44346094981697,0.430997286334203,14484.54,1.448454,351740.622514593,683607.836685235,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","N",3,1.1,NA,2013-05-28 23:22:00,2013-05-28 23:44:00,0,0,0,0,0,0,0,0,0,0,"3",147,-38,3,0,0,0,0,0,0,0,0,0.0281558167123897,21.1568658315228,77.8102803066833,128.469170363099,184.514120949246,-0.444136940033765,0.0283610730067253,-0.817696511623741,-0.194477352382147,10789.6,1.07896,351728.632335324,683725.388900774,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","N",3,1.1,NA,2013-05-28 23:22:00,2013-05-28 23:44:00,0,0,0,0,0,0,0,0,0,0,"3",147,-38,3,0,0,0,0,0,0,0,0,0.0281558167123897,21.1568658315228,77.8102803066833,128.469170363099,184.514120949246,-0.444136940033765,0.0283610730067253,-0.817696511623741,-0.194477352382147,10789.6,1.07896,351728.632335324,683725.388900774,0.310069141289713,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","N",4,0.7,NA,2013-05-28 23:22:00,2013-05-28 23:44:00,0,0,0,8,0,0,0,0,0,0,"4",147,-38,3,8,8,0,0.115572180912836,0,0.0796331323237602,0.0918632272059998,0,0.126726770240642,5.36925628590573,25.0261145670649,171.475262194176,92.1110372563468,5.25118176133018,1.3043864298257,-1.58154659287513,0.937699485810015,14216.57,1.421657,351720.253184006,683827.174801586,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","N",4,0.7,NA,2013-05-28 23:22:00,2013-05-28 23:44:00,0,0,0,8,0,0,0,0,0,0,"4",147,-38,3,8,8,0,0.115572180912836,0,0.0796331323237602,0.0918632272059998,0,0.126726770240642,5.36925628590573,25.0261145670649,171.475262194176,92.1110372563468,5.25118176133018,1.3043864298257,-1.58154659287513,0.937699485810015,14216.57,1.421657,351720.253184006,683827.174801586,-0.0745127393796984,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","N",5,0,NA,2013-05-28 23:22:00,2013-05-28 23:44:00,0,0,0,6,0,0,0,0,0,0,"5",147,-38,3,6,6,0,0.195531320523752,0.120706387170998,0.0179313414711981,0,0,0.0710912146736862,14.1239418175236,22.3047800854298,270.913935528288,27.8063687481518,3.13140560115023,0.401971307599244,-5.07022561406656,-0.364060879577023,12221.06,1.222106,351753.009685375,683933.869415163,-0.747531030551167,8.7
"Castlemains","Castlemains-1","JM",2013-05-28,"13.8","0","unk","N",5,0,NA,2013-05-28 23:22:00,2013-05-28 23:44:00,0,0,0,6,0,0,0,0,0,0,"5",147,-38,3,6,6,0,0.195531320523752,0.120706387170998,0.0179313414711981,0,0,0.0710912146736862,14.1239418175236,22.3047800854298,270.913935528288,27.8063687481518,3.13140560115023,0.401971307599244,-5.07022561406656,-0.364060879577023,12221.06,1.222106,351753.009685375,683933.869415163,-0.266803679714404,8.7
