ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
23/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.8,3.8, , ,1,1, , , 2014-01-23 09:23,0, , , ,
23/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.8,3.8, , ,6,6, , , 2014-01-23 09:23,0, , , ,
24/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,6.2,1.6, , ,1,1, , , 2014-01-24 09:31,0, , , ,
24/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,6.2,1.6, , ,6,6, , , 2014-01-24 09:31,0, , , ,
25/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10,3.5, , ,1,1, , , 2014-01-27 08:55,0, , , ,
25/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10,3.5, , ,6,6, , , 2014-01-27 08:55,0, , , ,
26/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9,4.5, , ,1,1, , , 2014-01-27 08:56,0, , , ,
26/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9,4.5, , ,6,6, , , 2014-01-27 08:56,0, , , ,
27/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9.1,3.1, , ,1,1, , , 2014-01-27 09:15,0, , , ,
27/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9.1,3.1, , ,6,6, , , 2014-01-27 09:15,0, , , ,
28/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8,4.5, , ,1,1, , , 2014-01-28 09:21,0, , , ,
28/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8,4.5, , ,6,6, , , 2014-01-28 09:21,0, , , ,
29/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.3,4.7, , ,1,1, , , 2014-01-29 09:35,0, , , ,
29/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.3,4.7, , ,6,6, , , 2014-01-29 09:35,0, , , ,
30/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.2,2.9, , ,1,1, , , 2014-01-30 09:34,0, , , ,
30/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.2,2.9, , ,6,6, , , 2014-01-30 09:34,0, , , ,
31/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,5.5,2.9, , ,1,1, , , 2014-01-31 09:25,0, , , ,
31/01/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,5.5,2.9, , ,6,6, , , 2014-01-31 09:25,0, , , ,
01/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7,2, , ,1,1, , , 2014-02-03 14:09,0, , , ,
01/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7,2, , ,6,6, , , 2014-02-03 14:09,0, , , ,
02/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.5,3, , ,1,1, , , 2014-02-03 14:12,0, , , ,
02/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.5,3, , ,6,6, , , 2014-02-03 14:12,0, , , ,
03/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.9,5.5, , ,1,1, , , 2014-02-03 14:27,0, , , ,
03/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.9,5.5, , ,6,6, , , 2014-02-03 14:27,0, , , ,
04/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9.4,3.8, , ,1,1, , , 2014-02-04 09:49,0, , , ,
04/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9.4,3.8, , ,6,6, , , 2014-02-04 09:49,0, , , ,
05/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.8,3.8, , ,1,1, , , 2014-02-05 10:12,0, , , ,
05/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.8,3.8, , ,6,6, , , 2014-02-05 10:12,0, , , ,
06/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8,4, , ,1,1, , , 2014-02-06 11:21,0, , , ,
06/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8,4, , ,6,6, , , 2014-02-06 11:21,0, , , ,
07/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.5,0, , ,1,1, , , 2014-02-07 15:34,0, , , ,
07/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.5,0, , ,6,6, , , 2014-02-07 15:34,0, , , ,
08/02/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.5,0, , ,1,1, , , 2014-02-10 09:39,0, , , ,
