,Name,Type,ID,Divrat,Y,M,D,H,M.1,S,uS,Datum,Lat,Long,Zon,E.ing,N.ing,Alt,Tape,Date,Loc,Species,Spec,Note,Note1,COUNT,X,LAT,LON,BNG_y,BNG_x,SURVEYID
1,ROON1___20140722_225534,132,NA,8,2014,7,22,22,55,34,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06535,-3.37257,686684.2412,314639.3584,Annfield-1
2,ROON1___20140722_225704,132,NA,8,2014,7,22,22,57,4,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.0653,-3.37238,686678.4416,314651.0768,Annfield-1
3,ROON1___20140722_230511,132,NA,8,2014,7,22,23,5,11,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06329,-3.37303,686455.5539,314606.1601,Annfield-1
4,ROON1___20140722_230607,132,NA,8,2014,7,22,23,6,7,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06327,-3.37292,686453.1919,314612.9645,Annfield-1
5,ROON1___20140722_231000,132,NA,8,2014,7,22,23,10,0,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmPIP,NA,NA,NA,1,NA,56.06225,-3.37293,686339.6887,314610.0844,Annfield-1
6,ROON1___20140722_231142,132,NA,8,2014,7,22,23,11,42,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.0622,-3.37163,686332.5153,314690.9153,Annfield-1
7,ROON1___20140722_233203,132,NA,8,2014,7,22,23,32,3,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmPIP,NA,NA,NA,1,NA,56.06694,-3.37593,686865.3563,314433.6997,Annfield-1
8,ROON1___20140722_233340,132,NA,8,2014,7,22,23,33,40,0,NA,0,0,---,0,0,0,NA,14/07/2022,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06729,-3.37587,686904.2332,314438.2114,Annfield-1
9,ROON1___20140723_001247,132,NA,8,2014,7,23,0,12,47,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06459,-3.37865,686607.2041,314259.1429,Annfield-1
10,ROON1___20140723_001631,132,NA,8,2014,7,23,0,16,31,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmSOPPIP,NA,NA,NA,1,NA,56.06373,-3.37933,686512.3407,314214.8945,Annfield-1
11,ROON1___20140723_001651,132,NA,8,2014,7,23,0,16,51,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmSOPPIP,NA,NA,NA,1,NA,56.06367,-3.37938,686505.7255,314211.6481,Annfield-1
12,ROON1___20140723_001712,132,NA,8,2014,7,23,0,17,12,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmSOCCAL,NA,NA,NA,,NA,56.06345,-3.3795,686481.3911,314203.6876,Annfield-1
12.1,ROON1___20140723_001712,132,NA,8,2014,7,23,0,17,12,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmSOPPIP,NA,NA,NA,1,NA,56.06345,-3.3795,686481.3911,314203.6876,Annfield-1
12.2,ROON1___20140723_001712,132,NA,8,2014,7,23,0,17,12,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmPIP,NA,NA,NA,1,NA,56.06345,-3.3795,686481.3911,314203.6876,Annfield-1
13,ROON1___20140723_001719,132,NA,8,2014,7,23,0,17,19,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmPIP,NA,NA,NA,1,NA,56.06342,-3.37955,686478.1146,314200.5079,Annfield-1
14,ROON1___20140723_001732,132,NA,8,2014,7,23,0,17,32,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmPIP,NA,NA,NA,1,NA,56.06336,-3.3796,686471.4994,314197.2614,Annfield-1
15,ROON1___20140723_001737,132,NA,8,2014,7,23,0,17,37,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06335,-3.37962,686470.4114,314195.9939,Annfield-1
16,ROON1___20140723_001747,132,NA,8,2014,7,23,0,17,47,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06331,-3.3797,686466.0594,314190.9241,Annfield-1
17,ROON1___20140723_001906,132,NA,8,2014,7,23,0,19,6,0,NA,0,0,---,0,0,0,NA,14/07/2023,Annfield,jmSOPPIP,NA,NA,NA,1,NA,56.06295,-3.38003,686426.4058,314169.5771,Annfield-1
18,ROON2_N_20140826_235033,132,NA,8,2014,8,26,23,50,33,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmMYOTI,NA,NA,NA,1,NA,56.06251,-3.37302,686368.7355,314605.0562,Annfield-2
21,ROON2_N_20140827_000844,132,NA,8,2014,8,27,0,8,44,0,NA,0,0,---,0,0,0,NA,14/08/2027,Annfield,,NA,NA,NA,,NA,56.06634,-3.37453,686796.8461,314519.5273,Annfield-2
31,ROON2_N_20140827_001128,132,NA,8,2014,8,27,0,11,28,0,NA,0,0,---,0,0,0,NA,14/08/2027,Annfield,,NA,NA,NA,,NA,56.06673,-3.37548,686841.4271,314461.2488,Annfield-2
41,ROON2___20140826_235025,132,NA,8,2014,8,26,23,50,25,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmMYOTI,NA,NA,NA,1,NA,56.06249,-3.37303,686366.5221,314604.3893,Annfield-2
51,ROON2___20140826_235036,132,NA,8,2014,8,26,23,50,36,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmMYOTI,NA,NA,NA,1,NA,56.06255,-3.37302,686373.1871,314605.1448,Annfield-2
61,ROON2___20140826_235722,132,NA,8,2014,8,26,23,57,22,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06443,-3.37312,686582.5356,314603.0802,Annfield-2
71,ROON2___20140826_235755,132,NA,8,2014,8,26,23,57,55,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmSOCCAL,NA,NA,NA,,NA,56.06446,-3.37313,686585.8867,314602.524,Annfield-2
7.1,ROON2___20140826_235755,132,NA,8,2014,8,26,23,57,55,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmSOPPIP,NA,NA,NA,1,NA,56.06446,-3.37313,686585.8867,314602.524,Annfield-2
81,ROON2___20140826_235906,132,NA,8,2014,8,26,23,59,6,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06478,-3.37258,686620.8184,314637.4746,Annfield-2
91,ROON2___20140826_235927,132,NA,8,2014,8,26,23,59,27,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmSOCCAL,NA,NA,NA,,NA,56.06486,-3.37243,686629.536,314646.9904,Annfield-2
9.1,ROON2___20140826_235927,132,NA,8,2014,8,26,23,59,27,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmPIP,NA,NA,NA,1,NA,56.06486,-3.37243,686629.536,314646.9904,Annfield-2
101,ROON2___20140826_235940,132,NA,8,2014,8,26,23,59,40,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmSOCCAL,NA,NA,NA,,NA,56.06488,-3.37233,686631.638,314653.2605,Annfield-2
10.1,ROON2___20140826_235940,132,NA,8,2014,8,26,23,59,40,0,NA,0,0,---,0,0,0,NA,14/08/2026,Annfield,jmPIP,NA,NA,NA,1,NA,56.06488,-3.37233,686631.638,314653.2605,Annfield-2
111,ROON2___20140827_000008,132,NA,8,2014,8,27,0,0,8,0,NA,0,0,---,0,0,0,NA,14/08/2027,Annfield,jmDUNNO,NA,NA,NA,,NA,56.06488,-3.37235,686631.6627,314652.0153,Annfield-2
121,ROON2___20140827_000017,132,NA,8,2014,8,27,0,0,17,0,NA,0,0,---,0,0,0,NA,14/08/2027,Annfield,jmSOCCAL,NA,NA,NA,,NA,56.06489,-3.37235,686632.7756,314652.0374,Annfield-2
12.11,ROON2___20140827_000017,132,NA,8,2014,8,27,0,0,17,0,NA,0,0,---,0,0,0,NA,14/08/2027,Annfield,jmPIP,NA,NA,NA,1,NA,56.06489,-3.37235,686632.7756,314652.0374,Annfield-2
131,ROON2___20140827_004853,132,NA,8,2014,8,27,0,48,53,0,NA,0,0,---,0,0,0,NA,14/08/2027,Annfield,jmCOMPIP,NA,NA,NA,1,NA,56.06431,-3.37898,686576.4533,314237.975,Annfield-2
141,ROON2___20140827_005006,132,NA,8,2014,8,27,0,50,6,0,NA,0,0,---,0,0,0,NA,14/08/2027,Annfield,jmPIP,NA,NA,NA,1,NA,56.06381,-3.37943,686521.3683,314208.8464,Annfield-2
110,ROON2_N_20140804_215015,132,NA,8,2014,8,4,21,50,15,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.61906,-2.56643,636309.1833,364423.7755,Barn Owl Lodge-1
210,ROON2_N_20140804_215023,132,NA,8,2014,8,4,21,50,23,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.61902,-2.56652,636304.7779,364418.0709,Barn Owl Lodge-1
36,ROON2_N_20140804_215029,132,NA,8,2014,8,4,21,50,29,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.61899,-2.5666,636301.4803,364413.0052,Barn Owl Lodge-1
42,ROON2_N_20140804_215637,132,NA,8,2014,8,4,21,56,37,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.61796,-2.57,636188.6036,364197.929,Barn Owl Lodge-1
52,ROON2_N_20140804_221145,132,NA,8,2014,8,4,22,11,45,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.61835,-2.5617,636227.7445,364721.0344,Barn Owl Lodge-1
62,ROON2_N_20140804_221856,132,NA,8,2014,8,4,22,18,56,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.61648,-2.56107,636019.308,364759.0302,Barn Owl Lodge-1
72,ROON2_N_20140804_223109,132,NA,8,2014,8,4,22,31,9,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62043,-2.56227,636459.5221,364687.0105,Barn Owl Lodge-1
82,ROON2_N_20140804_223138,132,NA,8,2014,8,4,22,31,38,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62045,-2.56183,636461.5235,364714.7391,Barn Owl Lodge-1
92,ROON2_N_20140804_223147,132,NA,8,2014,8,4,22,31,47,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62043,-2.5618,636459.2823,364716.6104,Barn Owl Lodge-1
102,ROON2_N_20140804_223211,132,NA,8,2014,8,4,22,32,11,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62052,-2.5615,636469.1457,364735.585,Barn Owl Lodge-1
112,ROON2_N_20140804_223214,132,NA,8,2014,8,4,22,32,14,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62053,-2.5615,636470.2586,364735.594,Barn Owl Lodge-1
122,ROON2_N_20140804_223223,132,NA,8,2014,8,4,22,32,23,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62055,-2.5614,636472.4335,364741.9098,Barn Owl Lodge-1
132,ROON2_N_20140804_223335,132,NA,8,2014,8,4,22,33,35,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmSOPPIP,NA,NA,NA,1,NA,55.62066,-2.56097,636484.4565,364769.0895,Barn Owl Lodge-1
142,ROON2_N_20140804_225844,132,NA,8,2014,8,4,22,58,44,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62043,-2.56225,636459.5119,364688.2701,Barn Owl Lodge-1
151,ROON2_N_20140804_225921,132,NA,8,2014,8,4,22,59,21,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62061,-2.56238,636479.6107,364680.2452,Barn Owl Lodge-1
161,ROON2_N_20140804_230516,132,NA,8,2014,8,4,23,5,16,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmSOPPIP,NA,NA,NA,1,NA,55.62257,-2.5643,636698.7243,364561.1011,Barn Owl Lodge-1
16.1,ROON2_N_20140804_230516,132,NA,8,2014,8,4,23,5,16,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62257,-2.5643,636698.7243,364561.1011,Barn Owl Lodge-1
171,ROON2_N_20140804_230934,132,NA,8,2014,8,4,23,9,34,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.6236,-2.56573,636814.0881,364471.9815,Barn Owl Lodge-1
181,ROON2___20140804_215615,132,NA,8,2014,8,4,21,56,15,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.61799,-2.56978,636191.8285,364211.8126,Barn Owl Lodge-1
19,ROON2___20140804_221828,132,NA,8,2014,8,4,22,18,28,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmSOPPIP,NA,NA,NA,1,NA,55.61659,-2.56075,636031.3872,364779.2842,Barn Owl Lodge-1
20,ROON2___20140804_223727,132,NA,8,2014,8,4,22,37,27,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62117,-2.55943,636540.4323,364866.5333,Barn Owl Lodge-1
211,ROON2___20140804_223730,132,NA,8,2014,8,4,22,37,30,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62118,-2.5594,636541.53,364868.4316,Barn Owl Lodge-1
22,ROON2___20140804_223735,132,NA,8,2014,8,4,22,37,35,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62119,-2.55937,636542.6277,364870.3299,Barn Owl Lodge-1
23,ROON2___20140804_225846,132,NA,8,2014,8,4,22,58,46,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62045,-2.56223,636461.7275,364689.5477,Barn Owl Lodge-1
24,ROON2___20140804_225849,132,NA,8,2014,8,4,22,58,49,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62047,-2.5622,636463.938,364691.4551,Barn Owl Lodge-1
25,ROON2___20140804_225914,132,NA,8,2014,8,4,22,59,14,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmSOPPIP,NA,NA,NA,1,NA,55.62058,-2.56232,636476.2414,364683.9969,Barn Owl Lodge-1
26,ROON2___20140804_225926,132,NA,8,2014,8,4,22,59,26,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62065,-2.56245,636484.0981,364675.8729,Barn Owl Lodge-1
27,ROON2___20140804_230000,132,NA,8,2014,8,4,23,0,0,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62083,-2.56273,636504.2736,364658.4014,Barn Owl Lodge-1
28,ROON2___20140804_230004,132,NA,8,2014,8,4,23,0,4,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62086,-2.5628,636507.6481,364654.0201,Barn Owl Lodge-1
29,ROON2___20140804_230011,132,NA,8,2014,8,4,23,0,11,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62091,-2.56283,636513.2281,364652.1759,Barn Owl Lodge-1
30,ROON2___20140804_230448,132,NA,8,2014,8,4,23,4,48,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62241,-2.56413,636680.8305,364571.6621,Barn Owl Lodge-1
311,ROON2___20140804_230529,132,NA,8,2014,8,4,23,5,29,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62261,-2.56435,636703.2016,364557.9886,Barn Owl Lodge-1
32,ROON2___20140804_230554,132,NA,8,2014,8,4,23,5,54,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmSOPPIP,NA,NA,NA,1,NA,55.6226,-2.56435,636702.0886,364557.9795,Barn Owl Lodge-1
32.1,ROON2___20140804_230554,132,NA,8,2014,8,4,23,5,54,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.6226,-2.56435,636702.0886,364557.9795,Barn Owl Lodge-1
33,ROON2___20140804_230625,132,NA,8,2014,8,4,23,6,25,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmSOPPIP,NA,NA,NA,1,NA,55.62283,-2.56465,636727.8394,364539.2953,Barn Owl Lodge-1
34,ROON2___20140804_230746,132,NA,8,2014,8,4,23,7,46,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62321,-2.56517,636770.3969,364506.893,Barn Owl Lodge-1
35,ROON2___20140804_230930,132,NA,8,2014,8,4,23,9,30,0,NA,0,0,---,0,0,0,NA,14/08/2004,Barn Owl Lodge,jmCOMPIP,NA,NA,NA,1,NA,55.62356,-2.56568,636809.6108,364475.0938,Barn Owl Lodge-1
113,ROON2_N_20140827_210525,132,NA,8,2014,8,27,21,5,25,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmPIP,NA,                                                                         ,NA,1,NA,55.62123,-2.55913,636546.9576,364885.4803,Barn Owl Lodge-2
212,ROON2_N_20140827_210537,132,NA,8,2014,8,27,21,5,37,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.62127,-2.55907,636551.3788,364889.2948,Barn Owl Lodge-2
310,ROON2_N_20140827_213446,132,NA,8,2014,8,27,21,34,46,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.61998,-2.56365,636410.1459,364599.6934,Barn Owl Lodge-2
410,ROON2_N_20140827_213758,132,NA,8,2014,8,27,21,37,58,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,,NA,                                                                         ,NA,,NA,55.61949,-2.56518,636356.3968,364502.8911,Barn Owl Lodge-2
57,ROON2_N_20140827_221305,132,NA,8,2014,8,27,22,13,5,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.61711,-2.56038,636089.0706,364803.0559,Barn Owl Lodge-2
63,ROON2_N_20140827_221318,132,NA,8,2014,8,27,22,13,18,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.61699,-2.56038,636075.7156,364802.948,Barn Owl Lodge-2
73,ROON2_N_20140827_222929,132,NA,8,2014,8,27,22,29,29,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmSOPPIP,NA,                                                                         ,NA,1,NA,55.62092,-2.56277,636514.3103,364655.9636,Barn Owl Lodge-2
83,ROON2_N_20140827_223132,132,NA,8,2014,8,27,22,31,32,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.62138,-2.5633,636565.7754,364623.001,Barn Owl Lodge-2
93,ROON2_N_20140827_223608,132,NA,8,2014,8,27,22,36,8,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.62252,-2.56428,636693.1494,364562.3154,Barn Owl Lodge-2
103,ROON2___20140827_205414,132,NA,8,2014,8,27,20,54,14,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.62006,-2.56345,636418.947,364612.3616,Barn Owl Lodge-2
114,ROON2___20140827_205910,132,NA,8,2014,8,27,20,59,10,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmNOCTU,NA,                                                                         ,NA,1,NA,55.62062,-2.5612,636480.122,364754.5685,Barn Owl Lodge-2
123,ROON2___20140827_210114,132,NA,8,2014,8,27,21,1,14,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmNOCTU,NA,                                                                         ,NA,1,NA,55.62087,-2.56055,636507.614,364795.7291,Barn Owl Lodge-2
133,ROON2___20140827_210859,132,NA,8,2014,8,27,21,8,59,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.62152,-2.55822,636578.7707,364943.0492,Barn Owl Lodge-2
143,ROON2___20140827_211027,132,NA,8,2014,8,27,21,10,27,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmSOPPIP,NA,                                                                         ,NA,1,NA,55.62165,-2.55785,636593.0513,364966.4669,Barn Owl Lodge-2
152,ROON2___20140827_211045,132,NA,8,2014,8,27,21,10,45,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.6217,-2.55778,636598.5804,364970.92,Barn Owl Lodge-2
162,ROON2___20140827_214014,132,NA,8,2014,8,27,21,40,14,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmSOPPIP,NA,                                                                         ,NA,1,NA,55.61917,-2.56613,636321.2712,364442.7696,Barn Owl Lodge-2
172,ROON2___20140827_214028,132,NA,8,2014,8,27,21,40,28,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,,NA,                                                                         ,NA,,NA,55.61911,-2.56623,636314.645,364436.4171,Barn Owl Lodge-2
182,ROON2___20140827_214114,132,NA,8,2014,8,27,21,41,14,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.61901,-2.56657,636303.6907,364414.9128,Barn Owl Lodge-2
191,ROON2___20140827_214120,132,NA,8,2014,8,27,21,41,20,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.619,-2.5666,636302.5932,364413.0143,Barn Owl Lodge-2
201,ROON2___20140827_214128,132,NA,8,2014,8,27,21,41,28,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.61898,-2.56665,636300.3931,364409.8471,Barn Owl Lodge-2
213,ROON2___20140827_214137,132,NA,8,2014,8,27,21,41,37,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.61896,-2.56673,636298.2084,364404.7904,Barn Owl Lodge-2
221,ROON2___20140827_214148,132,NA,8,2014,8,27,21,41,48,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.61892,-2.56678,636293.7824,364401.605,Barn Owl Lodge-2
231,ROON2___20140827_220329,132,NA,8,2014,8,27,22,3,29,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmSOCCAL,NA,                                                                         ,NA,,NA,55.6194,-2.56307,636345.3002,364635.6976,Barn Owl Lodge-2
23.1,ROON2___20140827_220329,132,NA,8,2014,8,27,22,3,29,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmSOPPIP,NA,                                                                         ,NA,1,NA,55.6194,-2.56307,636345.3002,364635.6976,Barn Owl Lodge-2
241,ROON2___20140827_220618,132,NA,8,2014,8,27,22,6,18,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.61906,-2.5624,636307.1188,364677.5875,Barn Owl Lodge-2
251,ROON2___20140827_220821,132,NA,8,2014,8,27,22,8,21,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmSOPPIP,NA,                                                                         ,NA,1,NA,55.61839,-2.56175,636232.2217,364717.9213,Barn Owl Lodge-2
261,ROON2___20140827_220829,132,NA,8,2014,8,27,22,8,29,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmCOMPIP,NA,                                                                         ,NA,1,NA,55.61836,-2.5617,636228.8575,364721.0434,Barn Owl Lodge-2
271,ROON2___20140827_220923,132,NA,8,2014,8,27,22,9,23,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmDUNNO,NA,                                                                         ,NA,,NA,55.61802,-2.56127,636190.7991,364747.8195,Barn Owl Lodge-2
281,ROON2___20140827_220926,132,NA,8,2014,8,27,22,9,26,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmSOCCAL,NA,                                                                         ,NA,,NA,55.61798,-2.56123,636186.3271,364750.3028,Barn Owl Lodge-2
28.1,ROON2___20140827_220926,132,NA,8,2014,8,27,22,9,26,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmSOPPIP,NA,                                                                         ,NA,1,NA,55.61798,-2.56123,636186.3271,364750.3028,Barn Owl Lodge-2
291,ROON2___20140827_220934,132,NA,8,2014,8,27,22,9,34,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmSOCCAL,NA,                                                                         ,NA,,NA,55.61794,-2.56118,636181.85,364753.4159,Barn Owl Lodge-2
29.1,ROON2___20140827_220934,132,NA,8,2014,8,27,22,9,34,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmSOPPIP,NA,                                                                         ,NA,1,NA,55.61794,-2.56118,636181.85,364753.4159,Barn Owl Lodge-2
301,ROON2___20140827_220943,132,NA,8,2014,8,27,22,9,43,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmSOCCAL,NA,                                                                         ,NA,,NA,55.61794,-2.56118,636181.85,364753.4159,Barn Owl Lodge-2
30.1,ROON2___20140827_220943,132,NA,8,2014,8,27,22,9,43,0,NA,0,0,---,0,0,0,NA,14/08/2027,Barn Owl Lodge,jmSOPPIP,NA,                                                                         ,NA,1,NA,55.61794,-2.56118,636181.85,364753.4159,Barn Owl Lodge-2
