"id","pBUILD","pTREE","pRDTRK","pROADS","pRGRAS","EDGED","D_LIN","D_BUI","D_WAT","D_TRE","PC1a","PC2a","PC3a","PC4a","AREA_M2"
"Alderston Mains-N-1",0,0,0,0,0,0.0217119638586391,23.02091061,126.9352947,386.5512671,128.6487116,-0.719429162317199,0.577256968515326,-0.62641703640854,-1.07466830185446,13555.66
"Alderston Mains-N-2",0.00493662313710895,0.00836221891215908,0.0325973430206428,0.0527958945145436,0,0.0366455366878083,20.00375395,89.76398607,369.1942078,77.20931317,0.867924555627478,0.810668025848804,0.193577684190028,-0.902079480364049,34420.29
"Alderston Mains-N-3",0,4.97439982068188e-05,0.0163412030735798,0.0334783101184686,0,0.0155944437751979,51.27823196,130.8181342,361.0946992,96.13374331,-0.790761014457394,0.813392468093045,0.0519998149630823,-1.10898906379938,16685.43
"Alderston Mains-N-4",0,0,0,0,0,0.0246490065981799,13.93875015,235.0446763,389.5014747,218.3851712,-0.8955687485335,0.824313030374363,-0.19692788013558,-0.7075184960792,10884.82
"Alderston Mains-N-5",0,0,0.0447761694330073,0,0,0.0386364017274033,12.85502491,224.8557024,495.1873152,208.7464107,0.00956541794770016,1.37190319261126,0.204282639068774,-0.759478479313673,8949.85
"Alderston Mains-W-1",0,0,0,0,0,0.0221656049036656,22.53783462,128.4473556,387.6317946,129.0515116,-0.705259630766878,0.578476279543418,-0.621695601014959,-1.0702743026632,13278.23
"Alderston Mains-W-2",0,0,0,0,0,0.0125283859215596,29.29005928,169.5877827,416.7110118,121.8216301,-1.13487554486027,0.642311840009986,-0.451928382693535,-1.20276474780795,10238.35
"Alderston Mains-W-3",0,0,0,0,0,0,109.3635035,245.7577627,322.9452015,175.6150783,-3.24632261982552,0.988259631673724,-0.0973402080643434,-1.08543461563199,10067.54
"Alderston Mains-W-4",0,0,0,0,0,0.00259425476717984,58.08018192,290.0505801,230.9174866,167.2425042,-2.23095239887373,0.317359880142289,0.0183357380938741,-0.542485998913319,10033.71
"Alderston Mains-W-5",0,0,0,0,0,0.0119139292542741,27.25268902,235.7272744,161.3792941,73.70199949,-1.11056109137933,-0.434537567918564,-0.268697590123434,-0.402217522263982,10245.99
"Alderston Mains-S-1",0,0,0,0,0,0.0234395737087675,22.27966815,119.7226092,349.1250238,123.3181628,-0.631226158037858,0.438660975480764,-0.663415390019539,-0.965025924004668,13035.22
"Alderston Mains-S-2",0.0071095868498827,0,0.018235276195119,0,0,0.0457967079004296,14.11118273,52.56050034,261.0540367,76.06591299,0.566255797481618,0.110897599103618,-0.955688209265907,-0.588810983778542,10502.72
"Alderston Mains-S-3",0.203748660904866,0.000448647211862973,0.0305353964124332,0,0,0.0848466786413319,10.2023191,13.64814281,155.3659216,71.04928213,3.59047599744086,0.775980189307117,-5.31533485713036,0.67961091944737,12415.1
"Alderston Mains-S-4",0.0270449786377035,0.169123590110657,0.0694201281293208,0,0,0.0645545927826114,9.447499388,35.9062401,50.50176568,14.73013311,2.29109662982601,-1.09024657378084,-0.813586596987885,-0.221651874636374,11246.45
"Alderston Mains-S-5",0,0.0108255658369419,0.0442206251258513,0,0,0.032152071677384,16.30081665,95.37096213,41.07892024,50.3005132,0.537611673036326,-0.655262937412613,-0.381206390840679,0.0681230573499567,10627.62
"Annfield-NE-1",0,0,0.0119174381424951,0.0180339763735211,0,0.0153445857760443,24.040994869958,82.4851146612267,282.425074272053,80.283430250048,-0.299630729992003,0.255558331989357,-0.425520664931708,-0.890129553822387,13147.96
"Annfield-NE-2",0.0144633088319156,0,0.0562706718422471,0.0420865926511478,0,0.0705664428896728,10.9685435978645,33.397600342959,227.443710985265,36.4317214894788,2.26968333906002,0.341598776353521,-0.249445240556549,-0.192530520594995,12713.55
"Annfield-NE-3",0,0,0,0,0,0.00978876219552188,25.2610831435229,132.009610222517,120.456724896788,107.495732754781,-0.901718104211014,-0.350779109197128,-0.627242873864285,-0.369976799463791,11130.11
"Annfield-NE-4",0,0,0,0,0,0.0189585804159497,19.1365617535406,247.33712111053,41.6993549373963,90.2814094499722,-0.824209021462802,-0.797872190894036,-0.249200319440565,0.0924751236506014,11517.74
"Annfield-NE-5",0,0,0,0,0,0.0529347758798851,14.2608888520735,326.148183785959,24.9788507690624,60.1438474720517,-0.175449293223429,-1.05270840359733,-0.049286754236631,0.444752931220741,8399.96
"Annfield-NW-1",0,0,0,0.000148963252999934,0,0.00137269637639439,32.7851058801618,116.254018070117,280.707104795458,113.3031307754,-1.24220852514983,0.235244450710424,-0.640384714387814,-0.961550165372214,13426.13
"Annfield-NW-2",0,0,0.090958171641967,0.0872347515021776,0,0.0631779052971899,15.8079552173663,173.130276851166,199.656558254376,163.467302803097,2.26910362268708,1.09329379459975,1.66903387386384,0.392796808481295,12724.86
"Annfield-NW-3",0,0,0.0795123946229345,0.0560054435019386,0,0.0413656141411989,16.4063170025487,189.810740240908,90.8427261167809,128.174794985924,1.38642988267239,0.329119021246247,1.1624895167413,0.47843653214693,16798.01
"Annfield-NW-4",0,0,0.0695161658618269,0.0804394340468358,0,0.0554806627030776,11.9306701047973,207.553878777596,32.7937722309372,102.164431186856,1.90548180902965,0.0936008526733569,1.43435369393272,0.705987378810295,11824.3
"Annfield-NW-5",0,0.0220103336618602,0.0733057987392663,0.0542811091296737,0,0.046019767487791,12.9594763493129,200.645740905574,56.8369480539791,30.3354628875112,1.62102669487858,-0.346405360980087,1.07261389013498,0.354128632818167,10379.67
