ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
27/05/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,17,9.4, , ,1,1, , , 2013-05-27 09:23,0, , , ,
27/05/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,17,9.4, , ,6,6, , , 2013-05-27 09:23,0, , , ,
28/05/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,14,8.7, , ,1,1, , , 2013-05-28 09:31,0, , , ,
28/05/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,14,8.7, , ,6,6, , , 2013-05-28 09:31,0, , , ,
29/05/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,15.3,6.8, , ,1,1, , , 2013-05-29 09:18,0, , , ,
29/05/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,15.3,6.8, , ,6,6, , , 2013-05-29 09:18,0, , , ,
30/05/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,18.9,13.1, , ,1,1, , , 2013-05-30 09:30,0, , , ,
30/05/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,18.9,13.1, , ,6,6, , , 2013-05-30 09:30,0, , , ,
31/05/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,19.4,9.4, , ,1,1, , , 2013-05-31 10:00,0, , , ,
31/05/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,19.4,9.4, , ,6,6, , , 2013-05-31 10:00,0, , , ,
01/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,19.5,7, , ,1,1, , , 2013-06-03 10:58,0, , , ,
01/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,19.5,7, , ,6,6, , , 2013-06-03 10:58,0, , , ,
02/06/2013 09:00, DCNN,6297,24,0, DLY3208,963,1012,19.5,12, , ,1,1, , , 2013-06-03 10:59,0, , , ,
02/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,19.5,12, , ,1,1, , , 2013-06-03 10:59,0, , , ,
02/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1022,19.5,7, , ,6,2006, , , 2013-10-03 11:54,0, , , ,
03/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,19.5,9.4, , ,1,1, , , 2013-06-03 11:01,0, , , ,
03/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,19.5,9.4, , ,6,6, , , 2013-06-03 11:01,0, , , ,
04/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,20.5,11.3, , ,1,1, , , 2013-06-04 09:47,0, , , ,
04/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,20.5,11.3, , ,6,6, , , 2013-06-04 09:47,0, , , ,
05/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,19.8,10.1, , ,1,1, , , 2013-06-05 09:19,0, , , ,
05/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,19.8,10.1, , ,6,6, , , 2013-06-05 09:19,0, , , ,
06/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,16.5,9.7, , ,1,1, , , 2013-06-06 09:19,0, , , ,
06/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,16.5,9.7, , ,6,6, , , 2013-06-06 09:19,0, , , ,
07/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,21,8.9, , ,1,1, , , 2013-06-07 10:01,0, , , ,
07/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,21,8.9, , ,6,6, , , 2013-06-07 10:01,0, , , ,
08/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,19.5,8, , ,1,1, , , 2013-06-10 12:11,0, , , ,
08/06/2013 09:00, DCNN,6297,24,1, DLY3208,963,1011,19.5,8, , ,6,6, , , 2013-06-10 12:11,0, , , ,
